_id,COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Populatio,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_pop,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_a,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_I,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualt,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
94,Allegheny,64240,4200364240,Reserve township,3333,3256,37,10,11,0,2,17,14,3255,3035,47,4,19,1,21,128,37,-78,-221,10,-6,8,1,19,111,23,-2.30%,-6.80%,27.00%,-60.00%,72.70%,,950.00%,652.90%,164.30%
95,Allegheny,64528,4200364528,Richland township,11100,10730,56,14,188,1,10,101,127,11942,10957,83,12,326,0,72,492,191,842,227,27,-2,138,-1,62,391,64,7.60%,2.10%,48.20%,-14.30%,73.40%,-100.00%,620.00%,387.10%,50.40%
96,Allegheny,65352,4200365352,Robinson township,13354,12205,446,7,485,1,54,156,195,15503,13224,607,18,785,0,167,702,423,2149,1019,161,11,300,-1,113,546,228,16.10%,8.30%,36.10%,157.10%,61.90%,-100.00%,209.30%,350.00%,116.90%
97,Allegheny,66264,4200366264,Ross township,31105,29250,647,30,765,10,96,307,350,33567,29373,950,37,1507,6,255,1439,646,2462,123,303,7,742,-4,159,1132,296,7.90%,0.40%,46.80%,23.30%,97.00%,-40.00%,165.60%,368.70%,84.60%
98,Allegheny,66320,4200366320,Rosslyn Farms borough,427,414,4,0,6,0,1,2,10,441,420,0,0,4,0,2,15,3,14,6,-4,0,-2,0,1,13,-7,3.30%,1.40%,-100.00%,,-33.30%,,100.00%,650.00%,-70.00%
99,Allegheny,68388,4200368388,Scott township,17024,14568,321,20,1827,4,80,204,156,17649,13873,423,25,2505,1,148,674,360,625,-695,102,5,678,-3,68,470,204,3.70%,-4.80%,31.80%,25.00%,37.10%,-75.00%,85.00%,230.40%,130.80%
100,Allegheny,69376,4200369376,Sewickley borough,3827,3399,281,2,51,2,17,75,70,3907,3328,202,6,71,4,45,251,128,80,-71,-79,4,20,2,28,176,58,2.10%,-2.10%,-28.10%,200.00%,39.20%,100.00%,164.70%,234.70%,82.90%
101,Allegheny,69400,4200369400,Sewickley Heights borough,810,787,5,3,7,0,3,5,13,857,760,10,0,36,0,12,39,13,47,-27,5,-3,29,0,9,34,0,5.80%,-3.40%,100.00%,-100.00%,414.30%,,300.00%,680.00%,0.00%
102,Allegheny,69416,4200369416,Sewickley Hills borough,639,610,15,0,9,0,3,2,12,689,625,15,0,21,0,8,20,16,50,15,0,0,12,0,5,18,4,7.80%,2.50%,0.00%,,133.30%,,166.70%,900.00%,33.30%
103,Allegheny,69584,4200369584,Shaler township,28757,27995,206,18,267,5,34,232,234,28132,26297,298,25,317,0,131,1064,464,-625,-1698,92,7,50,-5,97,832,230,-2.20%,-6.10%,44.70%,38.90%,18.70%,-100.00%,285.30%,358.60%,98.30%
104,Allegheny,69776,4200369776,Sharpsburg borough,3446,2994,232,7,59,1,26,127,115,3187,2503,373,5,60,0,48,198,115,-259,-491,141,-2,1,-1,22,71,0,-7.50%,-16.40%,60.80%,-28.60%,1.70%,-100.00%,84.60%,55.90%,0.00%
105,Allegheny,72160,4200372160,South Fayette township,14416,13218,324,8,661,2,37,166,141,18358,14740,376,28,2266,4,126,818,363,3942,1522,52,20,1605,2,89,652,222,27.30%,11.50%,16.00%,250.00%,242.80%,100.00%,240.50%,392.80%,157.40%
106,Allegheny,72400,4200372400,South Park township,13416,12738,379,7,106,6,26,154,112,13727,12374,425,11,248,5,72,592,201,311,-364,46,4,142,-1,46,438,89,2.30%,-2.90%,12.10%,57.10%,134.00%,-16.70%,176.90%,284.40%,79.50%
107,Allegheny,72568,4200372568,South Versailles township,351,342,5,0,3,0,0,1,1,310,296,0,0,2,0,2,10,14,-41,-46,-5,0,-1,0,2,9,13,-11.70%,-13.50%,-100.00%,,-33.30%,,,900.00%,1300.00%
108,Allegheny,72960,4200372960,Springdale borough,3405,3344,19,3,4,0,7,28,19,3400,3126,50,3,2,0,35,184,49,-5,-218,31,0,-2,0,28,156,30,-0.10%,-6.50%,163.20%,0.00%,-50.00%,,400.00%,557.10%,157.90%
109,Allegheny,72968,4200372968,Springdale township,1636,1629,3,2,1,0,0,1,10,1540,1447,11,3,3,0,6,70,24,-96,-182,8,1,2,0,6,69,14,-5.90%,-11.20%,266.70%,50.00%,200.00%,,,6900.00%,140.00%
110,Allegheny,74648,4200374648,Stowe township,6362,4957,1116,5,27,2,34,221,86,6426,3827,1962,18,51,0,105,463,219,64,-1130,846,13,24,-2,71,242,133,1.00%,-22.80%,75.80%,260.00%,88.90%,-100.00%,208.80%,109.50%,154.70%
111,Allegheny,75816,4200375816,Swissvale borough,8983,5308,3148,18,149,0,66,294,200,8624,4739,3026,22,179,10,143,505,328,-359,-569,-122,4,30,10,77,211,128,-4.00%,-10.70%,-3.90%,22.20%,20.10%,,116.70%,71.80%,64.00%
112,Allegheny,76104,4200376104,Tarentum borough,4530,4165,232,13,23,0,12,85,47,4352,3589,356,6,24,1,40,336,96,-178,-576,124,-7,1,1,28,251,49,-3.90%,-13.80%,53.40%,-53.80%,4.30%,,233.30%,295.30%,104.30%
113,Allegheny,76560,4200376560,Thornburg borough,455,446,0,0,4,0,0,5,5,466,433,3,1,7,0,0,22,13,11,-13,3,1,3,0,0,17,8,2.40%,-2.90%,,,75.00%,,,340.00%,160.00%
114,Allegheny,77272,4200377272,Trafford borough,61,61,0,0,0,0,0,0,0,90,78,0,0,1,0,2,9,4,29,17,0,0,1,0,2,9,4,47.50%,27.90%,,,,,,,
115,Allegheny,77912,4200377912,Turtle Creek borough,5349,4194,927,18,34,0,25,151,71,5114,3078,1546,4,44,2,66,374,101,-235,-1116,619,-14,10,2,41,223,30,-4.40%,-26.60%,66.80%,-77.80%,29.40%,,164.00%,147.70%,42.30%
